"Order tracking","تتبع الشحنة"
Track Your Order Step By Step,تتبع طلبك خطوة بخطوة
Order number,رقم الطلب
Track,تتبع الطلب
Preparing Order,تحضير الطلب
The bellow item is a pre-order item,هذا الطلب مسبق
Place,تاريخ الشراء
This item will be released,سيتم تحرير هذا الطلب
IMPORTANT NOTICE FOR ORDER TRACKING,إشعار هام لتتبع الطلب
IMPORTANT NOTICE FOR ORDER TRACKING</b>-The tracking order link will be automatically created once your order is delivered to the courier,إشعار مهم لتتبع الطلب </ b> - سيتم إنشاء رابط تتبع الطلب تلقائيًا بمجرد تسليم طلبك إلى شركة الشحن
Not found tracking number,لم يتم العثور على رقم تتبع
Preparing,خطة
In Warehouse,في المستودع
Shipping Order,تجهيز الشحن
Costoms,الجمارك
WithCourier,مع شركة الشحن
Delivered,تم التوصيل
Notice,الملاحظة
Date,التاريخ
Status,الحالة
Your order has been Created,تم إنشاء طلبك
it wll be shipped once its ready,سيتم شحن طلبك ريثما يكون جاهز
Your order has been Created it wll be shipped once its ready,سيتم شحنه بمجرد أن يصبح جاهزًا
Order Created,تم أنشاء الطلب
Your order is being prepared to get ready for shipping,يتم تحضير طلبك للاستعداد للشحن
Order Packaging,جاري معلاجة الطلب
Order Packaging,جاري المعالجة الطلب
Your order is on the way to your country,طلبك في طريقه إلى بلدك
On the way,جاري الشحن
Kpopiashop team are working to get your order ready,يعمل فريق كيبوبية شوب على تخليص شحنتك و توصيلها فى أقرب وقت ممكن
In Customes,في الجمارك
Your order is on the way to your location you can track your order the direct link to courier company below,طلبك في طريقه إلى موقعك ، يمكنك تتبع طلبك عبر الرابط المباشر لشركة البريد السريع أدناه
With Courier,مع شركة الشحن
Your order is Delivered,تم تسليم طلبك
Delivered,تم التوصيل
IMPORTANT NOTICE FOR ORDER TRACKING</b>-The tracking order link will be automatically created once your order is delivered to the courier,
Order tracking link,إشعار مهم لتتبع الطلب </ b> - سيتم إنشاء رابط تتبع الطلب تلقائيًا بمجرد تسليم طلبك إلى شركة الشحن ،
رابط تتبع الطلب
"IMPORTANT NOTICE FOR PRE-ORDER - when you have a pre-order item in an order with another item that is already available, your entire order will be held until the pre-order item arrives and is in stock ( items are not sent separately within the same order )",إشعار مهم للطلب المسبق - عندما يكون لديك منتج طلب مسبق في طلب مع منتج آخر متاح بالفعل ، فسيتم تعليق طلبك بالكامل حتى يصل منتج الطلب المسبق ويكون في المخزون (لا يتم إرسال العناصر بشكل منفصل ضمن نفس الترتيب )
"Your order number",ضع رقم الطلب هنا
"Dear valuable customer please contact us via E-mail (TEAM@KPOPIASHOP.COM)& Kindly Provide us with your correct mobile number / order  number so we can be able to deliver your order",عزيزي الفاضل - فضلا تواصل معنا عبر الإيميل ويرج(TEAM@KPOPIASHOP.COM)ى تزويدنا برقم الجوال الصحيح مع رقم الطلبية حتى يتم تأكيد الطلب وشحنه
"Order track",تتبع الطلب
"Order Confirmed","تم إنشاء الفاتورة"
